workbook,sheet,range,table_title,configuration,throttle_pct,thrust_g,current_a,power_input_w,rpm,efficiency_g_per_w,torque_nm,power_output_w,temperature,derived_ct,derived_cp,used_for_coefficient,note
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H6:R28,V6215 210KV VSC 22.1x7.4 Motor Propeller Pull Test Data,V6215 210KV + VSC 22.1x7.4,33,2174,5.1,235.2,2968,9.2,0.57,199.9,125.0°C,0.071633,0.028460,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H6:R28,V6215 210KV VSC 22.1x7.4 Motor Propeller Pull Test Data,V6215 210KV + VSC 22.1x7.4,35,2425,5.9,270.9,3130,9,0.64,230.3,,0.071847,0.027949,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H6:R28,V6215 210KV VSC 22.1x7.4 Motor Propeller Pull Test Data,V6215 210KV + VSC 22.1x7.4,37,2705,6.8,313.3,3302,8.6,0.71,266.3,,0.072011,0.027531,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H6:R28,V6215 210KV VSC 22.1x7.4 Motor Propeller Pull Test Data,V6215 210KV + VSC 22.1x7.4,39,3007,7.9,361.6,3477,8.3,0.78,307.3,,0.072195,0.027215,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H6:R28,V6215 210KV VSC 22.1x7.4 Motor Propeller Pull Test Data,V6215 210KV + VSC 22.1x7.4,42,3484,9.6,443.3,3736,7.9,0.91,376.8,,0.072452,0.026895,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H6:R28,V6215 210KV VSC 22.1x7.4 Motor Propeller Pull Test Data,V6215 210KV + VSC 22.1x7.4,45,3974,11.6,534,3981,7.4,1.03,453.9,,0.072782,0.026776,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H6:R28,V6215 210KV VSC 22.1x7.4 Motor Propeller Pull Test Data,V6215 210KV + VSC 22.1x7.4,48,4465,13.7,631.4,4210,7.1,1.16,536.7,,0.073121,0.026770,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H6:R28,V6215 210KV VSC 22.1x7.4 Motor Propeller Pull Test Data,V6215 210KV + VSC 22.1x7.4,51,4950,15.9,733.8,4424,6.7,1.29,623.7,,0.073410,0.026811,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H6:R28,V6215 210KV VSC 22.1x7.4 Motor Propeller Pull Test Data,V6215 210KV + VSC 22.1x7.4,54,5429,18.3,840.5,4624,6.5,1.41,714.4,,0.073700,0.026895,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H6:R28,V6215 210KV VSC 22.1x7.4 Motor Propeller Pull Test Data,V6215 210KV + VSC 22.1x7.4,57,5902,20.7,951.5,4813,6.2,1.54,808.8,,0.073952,0.026999,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
