kind,name,value,unit,source,note
mass,total_mass,14.942500,kg,/mnt/d/ADSystem/ad3000/DB 정리.xlsx,displayed E59
mass,cg_x,0.372722,m,/mnt/d/ADSystem/ad3000/DB 정리.xlsx,"from H60, transformed to JSBSim x aft"
mass,cg_y,-0.000223,m,/mnt/d/ADSystem/ad3000/DB 정리.xlsx,"computed from listed point masses, transformed to JSBSim y right"
mass,cg_z,-0.014001,m,/mnt/d/ADSystem/ad3000/DB 정리.xlsx,"from G60, transformed to JSBSim z up"
mass,ixx,0.526968,kg*m2,/mnt/d/ADSystem/ad3000/DB 정리.xlsx,sheet E65 remapped to JSBSim x axis
mass,iyy,1.772735,kg*m2,/mnt/d/ADSystem/ad3000/DB 정리.xlsx,sheet E63 remapped to JSBSim y axis
mass,izz,2.236967,kg*m2,/mnt/d/ADSystem/ad3000/DB 정리.xlsx,sheet E64 remapped to JSBSim z axis
geometry,points,46112.000000,mm/count,/mnt/d/ADSystem/ad3000/AD3000_CFD.step,raw STEP CARTESIAN_POINT bounding box
geometry,step_x_min_mm,-3083.950449,mm/count,/mnt/d/ADSystem/ad3000/AD3000_CFD.step,raw STEP CARTESIAN_POINT bounding box
geometry,step_x_max_mm,3083.950449,mm/count,/mnt/d/ADSystem/ad3000/AD3000_CFD.step,raw STEP CARTESIAN_POINT bounding box
geometry,step_y_min_mm,-980.529025,mm/count,/mnt/d/ADSystem/ad3000/AD3000_CFD.step,raw STEP CARTESIAN_POINT bounding box
geometry,step_y_max_mm,1636.253098,mm/count,/mnt/d/ADSystem/ad3000/AD3000_CFD.step,raw STEP CARTESIAN_POINT bounding box
geometry,step_z_min_mm,-1568.441593,mm/count,/mnt/d/ADSystem/ad3000/AD3000_CFD.step,raw STEP CARTESIAN_POINT bounding box
geometry,step_z_max_mm,0.294479,mm/count,/mnt/d/ADSystem/ad3000/AD3000_CFD.step,raw STEP CARTESIAN_POINT bounding box
propulsion,lift_rotor_static_max_target_each,73.267934,N,mass based sizing,2.0 total T/W divided across four rotors
propulsion,lift_rotor_static_hover_each,36.633967,N,mass based sizing,aircraft weight divided across four rotors
propulsion,lift_rotor_hover_throttle_estimate,0.707107,norm,mass based sizing,sqrt(hover thrust / max thrust)

component,system,part,mass_g,source_F_mm,source_G_mm,source_H_mm,jsbsim_x_m,jsbsim_y_m,jsbsim_z_m
component,프레임,동체,1300.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
component,프레임,좌 주익,790.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
component,프레임,우 주익,790.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
component,프레임,좌 미익,135.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
component,프레임,우 미익,135.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
component,프레임,상부 전방 판넬 커버,104.000000,0.770000,68.247000,-348.770000,0.348770,-0.000770,0.068247
component,프레임,상부 후방 판넬 커버,67.000000,0.001000,70.186000,-986.511000,0.986511,-0.000001,0.070186
component,프레임,하부 중앙 판넬 커버,134.000000,-0.000144,70.186000,-986.511000,0.986511,0.000000,0.070186
component,프레임,하부 후방 정비 커버,14.000000,-0.007000,-55.644000,-1326.324000,1.326324,0.000007,-0.055644
component,프레임,좌 붐,224.000000,487.191000,15.410000,-682.836000,0.682836,-0.487191,0.015410
component,프레임,우 붐,224.000000,-487.191000,15.407000,-682.836000,0.682836,0.487191,0.015407
component,구조물,주익 메인스파,65.000000,-0.000293,45.610000,-657.101000,0.657101,0.000000,0.045610
component,구조물,주익 서브스파,9.500000,-0.000315,39.900000,-761.469000,0.761469,0.000000,0.039900
component,착륙장치,전방 랜딩기어,20.000000,0.000098,-182.442000,-427.997000,0.427997,-0.000000,-0.182442
component,착륙장치,후방 랜딩기어,68.000000,-0.000207,-156.158000,-964.650000,0.964650,0.000000,-0.156158
component,추진,VTOL 모터 #1,292.000000,487.188000,-2.342000,-1163.665000,1.163665,-0.487188,-0.002342
component,추진,VTOL 모터 #2,292.000000,487.194000,-2.342000,-202.619000,0.202619,-0.487194,-0.002342
component,추진,VTOL 모터 #3,292.000000,-487.194000,-2.345000,-202.619000,0.202619,0.487194,-0.002345
component,추진,VTOL 모터 #4,292.000000,-487.188000,-2.345000,-1163.665000,1.163665,0.487188,-0.002345
component,추진,VTOL 프로펠러 #1,52.000000,487.191000,-20.466000,-1164.142000,1.164142,-0.487191,-0.020466
component,추진,VTOL 프로펠러 #2,52.000000,487.191000,-21.010000,-202.148000,0.202148,-0.487191,-0.021010
component,추진,VTOL 프로펠러 #3,52.000000,-487.191000,-21.014000,-202.142000,0.202142,0.487191,-0.021014
component,추진,VTOL 프로펠러 #4,52.000000,-487.191000,-20.468000,-1164.142000,1.164142,0.487191,-0.020468
component,추진,VTOL ESC 조립체 #1,190.000000,314.104000,38.998000,-719.102000,0.719102,-0.314104,0.038998
component,추진,VTOL ESC 조립체 #2,190.000000,-314.104000,38.996000,-719.101000,0.719101,0.314104,0.038996
component,추진,고정익 모터,354.000000,0.008000,10.969000,-1511.704000,1.511704,-0.000008,0.010969
component,추진,고정익 프로펠러,48.000000,-0.000556,11.949000,-1546.555000,1.546555,0.000001,0.011949
component,추진,고정익 ESC,87.000000,0.000167,-50.250000,-1205.062000,1.205062,-0.000000,-0.050250
component,추진,프롭 샤프트 어뎁터,26.000000,-0.000554,11.949000,-1541.907000,1.541907,0.000001,0.011949
component,항전-제어,비행제어컴퓨터,98.000000,0.030000,-48.201000,-898.272000,0.898272,-0.000030,-0.048201
component,항전-제어,GPS,36.000000,-0.000107,-51.482000,-978.501000,0.978501,0.000000,-0.051482
component,항전-제어,피토튜브,65.000000,89.434000,-49.998000,-105.441000,0.105441,-0.089434,-0.049998
